r,z
0.9495652173913043,-1.2143478260869565
0.9495652173913043,-1.2052173913043478
0.9495652173913043,-1.196086956521739
0.9495652173913043,-1.1869565217391302
0.9495652173913043,-1.1778260869565216
0.9495652173913043,-1.168695652173913
0.9495652173913043,-1.1595652173913042
0.9404347826086955,-1.1504347826086956
0.9404347826086955,-1.141304347826087
0.9404347826086955,-1.132173913043478
0.9404347826086955,-1.1230434782608694
0.9404347826086955,-1.1139130434782607
0.9404347826086955,-1.104782608695652
0.9313043478260868,-1.0956521739130434
0.9313043478260868,-1.0865217391304347
0.9313043478260868,-1.077391304347826
0.9313043478260868,-1.0682608695652174
0.9221739130434782,-1.0591304347826085
0.9221739130434782,-1.0499999999999998
0.9221739130434782,-1.0408695652173912
0.9221739130434782,-1.0317391304347825
0.9130434782608695,-1.0226086956521738
0.9130434782608695,-1.0134782608695652
0.9130434782608695,-1.0043478260869565
0.9039130434782607,-0.9952173913043477
0.9039130434782607,-0.986086956521739
0.9039130434782607,-0.9769565217391303
0.8947826086956521,-0.9678260869565216
0.8947826086956521,-0.958695652173913
0.8947826086956521,-0.9495652173913043
0.8856521739130434,-0.9404347826086955
0.8856521739130434,-0.9313043478260868
0.8856521739130434,-0.9221739130434782
0.8765217391304347,-0.9130434782608695
0.8765217391304347,-0.9039130434782607
0.867391304347826,-0.8947826086956521
0.867391304347826,-0.8856521739130434
0.867391304347826,-0.8765217391304347
0.8582608695652173,-0.867391304347826
0.8582608695652173,-0.8582608695652173
0.8582608695652173,-0.8491304347826086
0.8491304347826086,-0.8399999999999999
0.8491304347826086,-0.8308695652173912
0.8399999999999999,-0.8217391304347825
0.8399999999999999,-0.8126086956521739
0.8308695652173912,-0.8034782608695651
0.8308695652173912,-0.7943478260869564
0.8217391304347825,-0.7852173913043478
0.8126086956521739,-0.7760869565217391
0.8126086956521739,-0.7669565217391303
0.8034782608695651,-0.7578260869565216
0.8034782608695651,-0.748695652173913
0.7943478260869564,-0.7395652173913043
0.7943478260869564,-0.7304347826086955
0.7852173913043478,-0.7213043478260869
0.7760869565217391,-0.7121739130434782
0.7760869565217391,-0.7030434782608694
0.7669565217391303,-0.6939130434782608
0.7669565217391303,-0.6847826086956521
0.7578260869565216,-0.6756521739130434
0.748695652173913,-0.6665217391304347
0.748695652173913,-0.657391304347826
0.7395652173913043,-0.6482608695652173
0.7304347826086955,-0.6391304347826087
0.7304347826086955,-0.6299999999999999
0.7213043478260869,-0.6208695652173912
0.7121739130434782,-0.6117391304347826
0.7121739130434782,-0.6026086956521739
0.7030434782608694,-0.5934782608695651
0.6939130434782608,-0.5843478260869565
0.6939130434782608,-0.5752173913043478
0.6847826086956521,-0.566086956521739
0.6756521739130434,-0.5569565217391304
0.6665217391304347,-0.5478260869565217
0.6665217391304347,-0.538695652173913
0.657391304347826,-0.5295652173913042
0.6482608695652173,-0.5204347826086956
0.6482608695652173,-0.5113043478260869
0.6391304347826087,-0.5021739130434782
0.6299999999999999,-0.4930434782608695
0.6208695652173912,-0.4839130434782608
0.6208695652173912,-0.47478260869565214
0.6117391304347826,-0.4656521739130434
0.6026086956521739,-0.45652173913043476
0.5934782608695651,-0.44739130434782604
0.5843478260869565,-0.43826086956521737
0.5752173913043478,-0.42913043478260865
0.5752173913043478,-0.41999999999999993
0.566086956521739,-0.41086956521739126
0.5569565217391304,-0.40173913043478254
0.5478260869565217,-0.3926086956521739
0.538695652173913,-0.38347826086956516
0.5295652173913042,-0.3743478260869565
0.5204347826086956,-0.36521739130434777
0.5113043478260869,-0.3560869565217391
0.5021739130434782,-0.3469565217391304
0.4930434782608695,-0.3378260869565217
0.4839130434782608,-0.328695652173913
0.47478260869565214,-0.31956521739130433
0.4656521739130434,-0.3104347826086956
0.45652173913043476,-0.30130434782608695
